recipe_name,directions,category,nutrition,img_src,ingredients_parsed,tags,total_mins
Prune Cake,"Combine prunes and water in a small saucepan over medium-high heat. Bring to a boil reduce heat to low and simmer until prunes are tender about 5 minutes. Drain and set aside.
Preheat oven to 350 degrees F (175 degrees C). Grease and flour a fluted tube pan (such as a Bundt®).
Mix flour 1 1/2 cups sugar allspice baking soda nutmeg cinnamon and salt together in a mixing bowl. Combine vegetable oil 1 cup buttermilk and eggs in a separate bowl; pour them into the flour mixture. Mix until fully incorporated. Use an electric mixer to blend in the drained prunes; the mixer will break them up a bit. Stir in the chopped pecans.
Pour batter into prepared pan and bake in preheated oven until a tester comes out clean about 45 minutes. Remove cake from oven and allow it to cool for at least 10 minutes on a wire rack.
To make icing combine 1 cup sugar margarine 1/2 cup buttermilk vanilla extract and corn syrup in a saucepan and bring it to a boil over medium-high heat. Boil for a full 5 minutes stirring occasionally.
Invert cake onto a platter and pour hot icing over the cake.",Desserts,"Total Fat: 37.0, Saturated Fat: 5.0, Total Carbohydrate: 73.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/2AH35asj4pV7N1gP3gnSjBVUYqo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1066586-1fcb519533314cbbb9c58ea1d6b868f9.jpg,quantity: 120 unit: ml ingredient: water quantity: 256 unit: g ingredient: all-purpose flour quantity: 315 unit: g ingredient: white sugar quantity: 15 unit: g ingredient: ground allspice quantity: 5 unit: g ingredient: baking soda quantity: 5 unit: g ingredient: ground nutmeg quantity: 5 unit: g ingredient: ground cinnamon quantity: 2 unit: g ingredient: salt quantity: 240 unit: ml ingredient: vegetable oil quantity: 240 unit: ml ingredient: buttermilk quantity: 2.0 unit: piece ingredient: eggs quantity: 360 unit: ml ingredient: chopped pecans,"allspice, baking soda, buttermilk, cinnamon, egg, flour, nutmeg, oil, pecan, prune, salt, sugar, vegetable oil, water",85
Delicious Oat Bran Cereal,Combine water cinnamon prunes and sugar substitute in a saucepan over medium heat; bring to a boil; stir in the oat bran and boil for 2 minutes.,Breakfast and Brunch,"Total Fat: 2.0, Saturated Fat: 0.0, Total Carbohydrate: 42.0, Dietary Fiber: 7.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/qRbsQx4K5PwYeMBM0ZqRGG8fKyA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4566099-4fab1b71d86a412885a78c101a795149.jpg,quantity: 1 unit: g ingredient: ground cinnamon quantity: 5.0 unit: piece ingredient: dried pitted prunes quantity: 5 unit: g ingredient: sugar substitute (such as Splenda) quantity: 60 unit: ml ingredient: oat bran,"bran, cinnamon, oat, prune, sugar, sugar substitute, water",10
Banana Plum Bread,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
In a large bowl mash the sugar and margarine together until creamy and beat in the eggs. In a separate bowl sift the flour with baking powder and baking soda. Stir the flour mixture into the egg mixture in thirds alternating with the mashed bananas until the batter is smooth and well combined. Gently fold in the plums and place the batter into the prepared baking dish.
Bake in the preheated oven until golden brown about 1 hour.",Bread,"Total Fat: 9.0, Saturated Fat: 2.0, Total Carbohydrate: 39.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/XuJcRxFjsaSTQ-FC3yTBd1TS_lk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1040817-f0ec23ba65e74251ad6a26861b259685.jpg,quantity: 120 unit: ml ingredient: margarine quantity: 2.0 unit: piece ingredient: eggs quantity: 352 unit: g ingredient: all-purpose flour quantity: 8 unit: g ingredient: baking powder quantity: 2 unit: g ingredient: baking soda quantity: 360 unit: ml ingredient: mashed ripe bananas quantity: 240 unit: ml ingredient: plums,"baking powder, baking soda, banana, egg, flour, margarine, plum, sugar",85
Rachels Sugar Plum Spice Jam,"Place the plums pineapple apple juice orange juice concentrate and lemon juice into a large pot over medium-low heat cover and cook until the plums are soft 15 to 20 minutes. Mash the plums and pineapple with a potato masher until thoroughly broken up but leave small chunks of fruit in the mixture. With the fruit mixture at a slow simmer stir in the cloves allspice pectin and butter (to reduce foaming). Raise heat to high and bring the mixture to a full rolling boil for 1 minute stirring constantly. Mix in the sugar stirring constantly and cook for 1 more minute at a full rolling boil. Remove from heat stir in red food coloring until even in color and skim off any foam.
Sterilize 12-ounce canning jars and lids in boiling water for at least 5 minutes. Pack the plum jam into the hot sterilized jars filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil over high heat then carefully lower the jars into the pot using a holder. Leave a 2 inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil cover the pot and process for 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface several inches apart until cool. Once cool press the top of each lid with a finger ensuring that the seal is tight (lid does not move up or down at all). Store in a cool dark area.",Side Dish,"Total Fat: 0.0, Saturated Fat: 0.0, Total Carbohydrate: 15.0, Dietary Fiber: 0.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/mska6CgzuGn26irN4dSRvLgXRzo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2422500-fc5abeb02d6a4977975c6fb82cf7751d.jpg,quantity: 480 unit: ml ingredient: chopped fresh pineapple quantity: 120 unit: ml ingredient: apple juice quantity: 0.5 unit: can ingredient: frozen orange juice concentrate quantity: 1.0 unit: piece ingredient: lemon quantity: 8 unit: g ingredient: ground cloves quantity: 5 unit: g ingredient: ground allspice quantity: 1.0 unit: package ingredient: powdered fruit pectin quantity: 15 unit: g ingredient: butter quantity: 1680 unit: g ingredient: white sugar quantity: 4.0 unit: piece ingredient: drops red food coloring,"allspice, apple, apple juice, butter, food coloring, fruit pectin, juice, lemon, orange, orange juice, pectin, pineapple, plum, powdered fruit pectin, sugar",135
Grandma Skeets Prune Kolaches,"Place the warm water salt egg and 2 tablespoons butter in the pan of a bread machine. Add bread flour and pour 1/4 cup sugar on the edge of the pan. Make a shallow hole in the flour and add the yeast. Close the lid and set machine for the DOUGH cycle.
While the dough is mixing combine the prunes prune juice 1/4 cup sugar cinnamon cloves and lime juice in a saucepan. Bring to a boil then reduce heat to low and simmer until prunes are soft and the sauce has thickened about 15 minutes. Remove from heat and blend in a mixer or food processor until smooth.
When the bread machine signals the end of the dough cycle transfer the dough to a lightly floured surface. Divide the dough into 20 small egg-sized pieces. Cover with greased plastic wrap and set aside for 10 minutes.
In a small bowl mix together 1 cup sugar and 1/2 cup flour. Stir in melted butter and 1 teaspoon cinnamon to make a crumbly streusel.
Preheat the oven to 350 degrees F (175 degrees C). Grease a large baking sheet or line it with parchment paper.
Shape the kolache dough into balls and place them on the prepared baking sheet. Press a shallow hole in the center of each one and fill with prune filling. Top each of the kolaches with streusel. Let the kolaches rest until doubled in size about 20 minutes.
Bake until the tops are lightly browned 14 to 16 minutes.",Bread,"Total Fat: 3.0, Saturated Fat: 2.0, Total Carbohydrate: 48.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/tIoU52RGxz9CtlF9Ofpb3f-sJbU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/109082-f50b1fa29e9c49dab27cf9d690f477a6.jpg,quantity: 5 unit: g ingredient: salt quantity: 1.0 unit: piece ingredient: egg quantity: 30 unit: g ingredient: butter quantity: 384 unit: g ingredient: bread flour quantity: 52 unit: g ingredient: white sugar quantity: 15 unit: g ingredient: bread machine yeast,"bread, bread flour, butter, egg, flour, salt, sugar, water",170
Potato Plum Dumplings,"Scrub potatoes and place them into a large pot with enough water to cover. bring to a boil and cook until tender about 40 minutes. Drain and cool. When potatoes are cool enough to handle peel and press through a ricer into a large bowl. Set aside to cool. This part of the process can be done as much as one day in advance.
In a large bowl mix together the prepared potatoes salt egg and 1 tablespoon of butter until well blended. Gradually stir in the farina and then the flour. If dough is still wet more flour can be mixed in. Turn dough out onto a floured surface and knead until smooth about 5 to 10 minutes.
Split open each plum where it cracks and remove the pit. Replace each pit with a sugar cube and close.
On a floured surface roll out the dough to 1/4 inch thickness. Cut into twelve 3 inch squares. Place one plum into each square and bring the corners around to the top. Pinch together all of the seams to seal.
Bring a large pot of water to a slow boil. Place about 4 dumplings into the water at a time. Once they float to the surface continue to cook them for about 5 more minutes. Transfer cooked dumplings to a covered bowl and keep warm.
Melt the remaining 1/2 cup of butter in a small skillet over medium heat. Stir in bread crumbs and 1/4 cup of sugar. Continue to cook and stir until browned. Remove the bread crumbs to a plate and roll warm dumplings in the mixture until entirely coated. To serve place a dumpling or two on a plate sprinkle with a little sugar and a little extra melted butter if desired.",Cuisine,"Total Fat: 10.0, Saturated Fat: 6.0, Total Carbohydrate: 53.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/CYKC-c-qhNf0OyboFKBpRPLYz60=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4558276-83f0853671cd4c44b9022ccc58fa73a6.jpg,quantity: 2 unit: g ingredient: salt quantity: 15 unit: g ingredient: butter quantity: 2.0 unit: piece ingredient: eggs quantity: 60 unit: ml ingredient: farina quantity: 128 unit: g ingredient: all-purpose flour quantity: 12.0 unit: piece ingredient: Italian prune plums quantity: 12.0 unit: piece ingredient: cubes white sugar quantity: 114 unit: g ingredient: butter quantity: 52 unit: g ingredient: white sugar quantity: 240 unit: ml ingredient: dry bread crumbs,"bread, bread crumb, butter, egg, farina, flour, plum, prune, salt, sugar",175
Zwetschgendatschi (German Plum Sheet Cake),"Combine flour and baking powder in a large bowl. Mix in 1 cup sugar vanilla sugar and salt. Add 1 1/3 cups butter and eggs. Knead everything into a smooth dough. Shape dough into a ball press flat cover and chill in the refrigerator 1 hour to overnight.
Preheat the oven to 350 degrees F (175 degrees C). Grease a baking sheet with butter.
Cut halved plums in half again without cutting all the way through so they fan out.
Roll pastry dough out on a lightly floured work surface. Line the bottom and sides of the prepared baking sheet with dough. Mix 2 tablespoons sugar and cinnamon together in a bowl.
Arrange plums side by side on the pastry dough; very small plums should overlap. Dot plums with 2 tablespoons butter and sprinkle with cinnamon sugar and almonds.
Bake in the preheated oven until pastry crust is lightly browned 30 to 40 minutes. Remove from oven. Allow plum cake to cool then cut into squares. Serve lukewarm or at room temperature.",Cuisine,"Total Fat: 18.0, Saturated Fat: 11.0, Total Carbohydrate: 51.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/tccf23G75w3xl2Lgj6jyFw_DIKQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5491048-bd3a855859df4990a5034e9e588495f3.jpg,quantity: 20 unit: g ingredient: baking powder quantity: 210 unit: g ingredient: white sugar quantity: 10 unit: g ingredient: vanilla sugar quantity: 2 unit: g ingredient: salt quantity: 303 unit: g ingredient: unsalted butter quantity: 2.0 unit: piece ingredient: large eggs quantity: 1012 unit: g ingredient: Italian prune plums quantity: 30 unit: g ingredient: white sugar quantity: 5 unit: g ingredient: ground cinnamon quantity: 30 unit: g ingredient: unsalted butter quantity: 15 unit: g ingredient: sliced almonds (Optional),"almond, baking powder, butter, cinnamon, egg, flour, plum, prune, salt, sugar, vanilla",120
Far Breton,"Preheat the oven to 450 degrees F (230 degrees C). Grease a shallow 2 quart baking dish.
Place the pitted prunes in a saucepan with enough water to cover. Bring to a simmer and cook until the prunes are tender but still hold their shape about 10 minutes. Drain the prunes and arrange them in the bottom of the prepared baking dish.
Whisk together the flour white sugar vanilla sugar baking powder and salt in a large bowl. Whisk in the eggs one at a time beating well after each addition. Gradually pour in the milk stirring vigorously with a wooden spoon until combined. Stir in the rum. Pour the batter evenly over the prunes.
Bake in the preheated oven for 10 minutes. Reduce the oven temperature to 400 degrees F and bake until the filling is firm has risen a little and the top is browned about 30 minutes. Serve warm or at room temperature.",Cuisine,"Total Fat: 6.0, Saturated Fat: 3.0, Total Carbohydrate: 53.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/xtZE0TXZ3EbW8avG5D-ci7rnso0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1184589-2edbadb3658c44deb5f848a1f256ffe6.jpg,quantity: 128 unit: g ingredient: all-purpose flour quantity: 130 unit: g ingredient: white sugar quantity: 15 unit: g ingredient: vanilla sugar quantity: 5 unit: g ingredient: baking powder quantity: 1 unit: g ingredient: salt quantity: 4.0 unit: piece ingredient: eggs quantity: 720 unit: ml ingredient: whole milk quantity: 30 unit: g ingredient: rum,"baking powder, egg, flour, milk, prune, rum, salt, sugar, vanilla",55
Drozdzowka (Polish Yeast Plum Cake),"In a saucepan over very low heat warm up 1/2 cup of milk to no more than 100 degrees F (38 degrees C); stir in 1 tablespoon of flour and 1 tablespoon of sugar. Remove from heat and transfer to a bowl. Crumble the cake yeast into the milk mixture and gently stir until the mixture becomes creamy. Cover the pan with a cloth and set aside in a warm place until the yeast forms a spongy texture 20 to 30 minutes.
Melt margarine in a saucepan over low heat; remove from heat and allow to cool to lukewarm.
Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish and sprinkle with bread crumbs.
Place eggs and 1 1/8 cup sugar into a blender and process until the mixture is yellow and fluffy. In a large mixing bowl whisk together 8 cups of flour with vanilla sugar. Stir in the egg mixture activated yeast mixture and lukewarm margarine; start kneading 1 cup milk or as needed into the dough a little at a time until the dough stops sticking to your fingers and becomes smooth and even. Knead for at least 15 minutes working to incorporate as much air as possible into the dough as you knead.
Press the dough evenly into the prepared baking sheet and arrange the plums over the top of the dough. Set aside.
In a bowl cut together 1 1/2 cup flour the butter and 1/2 cup of sugar with a pastry cutter until the mixture resembles fine crumbs; sprinkle the streusel mixture over the plums. Dust streusel with cinnamon if desired.
Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean 1 hour to 1 hour and 10 minutes.",Cuisine,"Total Fat: 16.0, Saturated Fat: 5.0, Total Carbohydrate: 61.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/hHMs30lADZnZQqbig0hTuZPxCTU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4549502-f5653b4cbd9648119fb15af857a30924.jpg,quantity: 15 unit: g ingredient: all-purpose flour quantity: 15 unit: g ingredient: white sugar quantity: 2.0 unit: piece ingredient: cakes cake yeast quantity: 319 unit: ml ingredient: margarine quantity: 120 unit: ml ingredient: dry bread crumbs quantity: 4.0 unit: piece ingredient: eggs quantity: 235 unit: g ingredient: white sugar quantity: 1024 unit: g ingredient: all-purpose flour quantity: 20 unit: g ingredient: vanilla sugar quantity: 240 unit: ml ingredient: whole milk quantity: 1440 unit: ml ingredient: fresh plums quantity: 192 unit: g ingredient: all-purpose flour quantity: 114 unit: g ingredient: butter quantity: 105 unit: g ingredient: white sugar quantity: 2 unit: g ingredient: ground cinnamon (Optional),"bread, bread crumb, butter, cake, cake yeast, cinnamon, egg, flour, margarine, milk, plum, sugar, vanilla",140
Judys Brown Sauce,"Working in batches place the apples plums and onions into the work bowl of a food processor and grind until fine. Transfer the ground fruit and onions into a large pot and stir in the malt vinegar sugar salt Worcestershire sauce garlic ginger nutmeg allspice and cayenne pepper until the mixture is well combined. Bring to a simmer over low heat and simmer until brown and thickened about 3 to 4 hours.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the sauce into the hot sterilized jars filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil over high heat then carefully lower the jars into the pot using a holder. Leave a 2 inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil cover the pot and process for 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface several inches apart until cool. Once cool press the top of each lid with a finger ensuring that the seal is tight (lid does not move up or down at all). Store in a cool dark area.",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 8.0, Dietary Fiber: 0.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/XGh3v0S1Mn-t72thvXf_OpuzNV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043788-0c3edab9fc164c3ba7778834a3515b6f.jpg,quantity: 2400 unit: ml ingredient: pitted and halved fresh prune plums quantity: 1200 unit: ml ingredient: chopped onions quantity: 1440 unit: ml ingredient: malt vinegar quantity: 1050 unit: g ingredient: white sugar quantity: 120 unit: ml ingredient: salt quantity: 120 unit: ml ingredient: Worcestershire sauce quantity: 4.0 unit: piece ingredient: cloves garlic quantity: 10 unit: g ingredient: ground ginger quantity: 10 unit: g ingredient: ground nutmeg quantity: 10 unit: g ingredient: ground allspice quantity: 10 unit: g ingredient: ground cayenne pepper quantity: 15.0 unit: piece ingredient: half -pint canning jars with lids and rings,"allspice, cayenne pepper, garlic, ginger, malt vinegar, nutmeg, onion, pepper, plum, prune, salt, sauce, sugar, vinegar, worcestershire sauce",360
Plum Custard Kuchen,"Preheat oven to 350 degrees F (175 degrees C). In a large bowl mix flour 1 tablespoon sugar and baking powder in a bowl. Cut in butter until mixture looks like coarse crumbs. Stir in 2 tablespoons whipping cream and 1 egg. Press in bottom of ungreased 9-inch square pan and arrange plums over the top.
Bake in the preheated oven for 25 to 30 minutes. While cake is baking in a bowl combine 1/2 cup whipping cream 1/2 cup sugar 1 teaspoon vanilla and 1 egg. Beat well and pour mixture over plums and bake an additional 20 to 30 minutes or until custard is set. Serve warm or cool. Store in refrigerator.",Desserts,"Total Fat: 18.0, Saturated Fat: 11.0, Total Carbohydrate: 29.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/C4ZsxA6L11uvyxQmuMkVTi4yQgo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6974974-21dde00aab154f559991aed1b6bfef46.jpg,quantity: 15 unit: g ingredient: white sugar quantity: 5 unit: g ingredient: baking powder quantity: 114 unit: g ingredient: butter quantity: 30 unit: g ingredient: heavy cream quantity: 1.0 unit: piece ingredient: egg quantity: 600 unit: ml ingredient: pitted and sliced plums quantity: 120 unit: ml ingredient: heavy cream quantity: 105 unit: g ingredient: white sugar quantity: 1.0 unit: piece ingredient: egg quantity: 5 unit: g ingredient: vanilla extract,"baking powder, butter, cream, egg, flour, heavy cream, plum, sugar, vanilla, vanilla extract",90
Pork Tenderloin with Balsamic Plum Reduction,"Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with foil.
Season the pork tenderloin with salt and pepper. Heat olive oil in a heavy skillet over high heat until the oil shimmers; gently lay the tenderloin into the hot oil. After about 1 minute gently loosen the meat from the bottom of the skillet if necessary. Cook until the pork is seared a golden brown color about 3 minutes per side. Transfer the pork to the lined baking sheet.
Roast the seared tenderloin in the preheated oven until a thermometer inserted into the center of the pork reads at least 145 degrees F (63 degrees C) about 15 minutes. Remove the pork from the oven and allow to rest for 10 minutes before slicing into medallions.
Cook the plums balsamic vinegar brown sugar honey and blueberry juice in a small saucepan over medium-low heat stirring often until the plums are soft about 10 minutes. Transfer the sauce to a blender and blend until smooth. Return the sauce to the saucepan and simmer until reduced and thickened to the consistency of apple butter about 5 more minutes. Spoon plum sauce over the sliced pork to serve.",Meat and Poultry,"Total Fat: 6.0, Saturated Fat: 1.0, Total Carbohydrate: 12.0, Dietary Fiber: 0.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/kMjhbq7uHbopsQTX2SzY7WShLZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3721441-c996e7e3ea414222af4ad8e1d6236aba.jpg,quantity: 15 unit: g ingredient: olive oil quantity: 1.5 unit: piece ingredient: plums quantity: 30 unit: g ingredient: balsamic vinegar quantity: 15 unit: g ingredient: brown sugar quantity: 15 unit: g ingredient: honey quantity: 30 unit: g ingredient: blueberry juice (Optional),"balsamic vinegar, blueberry, blueberry juice, brown sugar, honey, juice, oil, olive oil, plum, pork, sugar, vinegar",45
Plum Pudding II,"Well grease a pudding mold.
In a large saucepan combine butter sugar milk dates raisins currants mixed fruit peel and zest of the orange; bring to a boil. Remove from heat and stir in baking soda. Sift in the flour cinnamon and salt; mix gently until blended. Pour into prepared pudding mold.
Cover with a double layer of greased wax paper and steam for 2 hours.",Desserts,"Total Fat: 9.0, Saturated Fat: 5.0, Total Carbohydrate: 55.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/at_4aLNXeEShW_wVwhW0cYvFSEQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6164042-b6f2a231f6ef454e94f93a787763cbc2.jpg,quantity: 69 unit: g ingredient: brown sugar quantity: 240 unit: ml ingredient: milk quantity: 12.0 unit: piece ingredient: dates quantity: 120 unit: ml ingredient: raisins quantity: 60 unit: ml ingredient: dried currants quantity: 60 unit: ml ingredient: candied mixed fruit peel quantity: 1.0 unit: piece ingredient: orange quantity: 5 unit: g ingredient: baking soda quantity: 128 unit: g ingredient: self-rising flour quantity: 10 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: salt,"baking soda, brown sugar, butter, candied mixed fruit, cinnamon, currant, date, flour, milk, orange, raisin, salt, sugar",140
Peach and Plum Cake,"Preheat the oven to 350 degrees F (175 degrees C). Butter a 9-inch square baking pan.
Beat 1 cup sugar and 1 stick butter together using an electric mixer until light and fluffy. Add eggs 1 at a time beating after each addition. Add yogurt and vanilla extract; mix until batter is smooth. Add flour baking soda baking powder and salt to the batter and mix until just combined. Combine remaining 1/2 cup sugar and cinnamon in a separate bowl.
Spread batter evenly into the prepared pan and sprinkle with 1/2 of the cinnamon-sugar mixture. Top batter with plums and peaches; sprinkle with remaining cinnamon-sugar mixture.
Bake in the preheated oven until a toothpick inserted into the center comes out clean 45 minutes to 1 hour making sure not to overbake. Serve warm or at room temperature.",Desserts,"Total Fat: 10.0, Saturated Fat: 6.0, Total Carbohydrate: 48.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/QD8be0qftWlQE24hF3H45JTajcI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7079562-7b5bbc0356fa443cb7828aafcfae48b4.jpg,quantity: 315 unit: g ingredient: white sugar quantity: 1.0 unit: piece ingredient: stick unsalted butter quantity: 2.0 unit: piece ingredient: extra large eggs quantity: 240 unit: ml ingredient: plain yogurt quantity: 5 unit: g ingredient: vanilla extract quantity: 256 unit: g ingredient: all-purpose flour quantity: 5 unit: g ingredient: baking soda quantity: 5 unit: g ingredient: baking powder quantity: 2 unit: g ingredient: salt quantity: 5 unit: g ingredient: ground cinnamon quantity: 5.0 unit: piece ingredient: medium ripe plums quantity: 3.0 unit: piece ingredient: large ripe peaches - peeled,"baking powder, baking soda, butter, cinnamon, egg, flour, peach, plain yogurt, plum, salt, sugar, vanilla, vanilla extract, yogurt",75
Prune Filling,Chop pecans and prunes together in a blender or food processor stir in the sugar cinnamon cloves and lime juice. Use as a filling for cookies or pastries.,Desserts,"Total Fat: 3.0, Saturated Fat: 0.0, Total Carbohydrate: 7.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/rLCRIG0I7zNR32oUvZZEM-k8IaY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5057331-66818de25d3c45749dca1964b39a5386.jpg,quantity: 1.0 unit: can ingredient: stewed prunes quantity: 30 unit: g ingredient: white sugar quantity: 2 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: ground cloves quantity: 15 unit: g ingredient: lime juice,"cinnamon, juice, lime, lime juice, pecan, prune, sugar",10
Fruit-Stuffed Pork Loin,"Preheat oven to 325 degrees F (165 degrees C).
Mix prunes apricots ginger orange zest 1/2 teaspoon cumin and cinnamon in a bowl; season with salt and black pepper.
Open pork roast and spoon stuffing down the center; fold meat over stuffing and tie securely in several places with kitchen twine. Set roast onto a rack in a roasting pan.
Combine brown sugar flour cider vinegar 1 teaspoon cumin and mustard powder into a paste; spread brown sugar mixture over the roast.
Bake in the preheated oven until a meat thermometer inserted into center of stuffing reads 160 degrees F (70 degrees C) about 1 1/2 hours. Transfer roast to a serving platter and tent with aluminum foil while you make gravy.
Skim fat from roasting pan and transfer defatted drippings into a small saucepan. Pour 1/2 cup water into roasting pan and scrape up and dissolve any browned bits of food into water; pour into saucepan with pan juices. Bring pan juices to a boil over medium heat. Dissolve cornstarch in 1 tablespoon water in a small bowl and whisk cornstarch mixture into pan juices stirring constantly until thickened about 1 minute. Strain gravy into a gravy boat. Serve gravy with roast.",Meat and Poultry,"Total Fat: 20.0, Saturated Fat: 7.0, Total Carbohydrate: 26.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/bgRNDu1MtmZKEG4279kSmJTnH3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1039973-686a7330b1434fee95630aa66f244edf.jpg,quantity: 180 unit: ml ingredient: chopped dried apricots quantity: 15 unit: g ingredient: grated fresh ginger quantity: 5 unit: g ingredient: grated orange zest quantity: 2 unit: g ingredient: ground cumin quantity: 2 unit: g ingredient: ground cinnamon quantity: 1.0 unit: piece ingredient: boneless pork loin roast quantity: 52 unit: g ingredient: packed brown sugar quantity: 10 unit: g ingredient: all-purpose flour quantity: 10 unit: g ingredient: cider vinegar quantity: 5 unit: g ingredient: ground cumin quantity: 5 unit: g ingredient: mustard powder quantity: 120 unit: ml ingredient: water quantity: 5 unit: g ingredient: cornstarch quantity: 15 unit: g ingredient: water,"apricot, brown sugar, cinnamon, cornstarch, cumin, dried apricot, flour, ginger, mustard, mustard powder, orange, orange zest, pork, prune, roast, sugar, vinegar, water, zest",120
Plum Flummery,"Place the plums into a saucepan over medium-low heat cover and simmer stirring occasionally until the plums are soft 5 to 10 minutes. If the mixture becomes too thick or starts to burn add a tablespoon of water. Remove from heat and allow to cool.
Dissolve the gelatin in 1/2 cup of hot water in a bowl and stir in the cooled plums sugar and lemon juice. Mix until the gelatin and sugar have dissolved. Chill the plum mixture in refrigerator until it begins to thicken about 30 minutes. Whip the evaporated milk in a mixing bowl with an electric mixer until thick then gently spoon the whipped milk into the plum mixture. Beat again with electric mixer until the dessert is fluffy and well combined. Chill for at least 3 hours before serving.",Desserts,"Total Fat: 2.0, Saturated Fat: 1.0, Total Carbohydrate: 31.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/JFD8Zvi5ZKqcbuW4BLfFsTnKMFg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/878738-6d9c78e9c0a1409292ffd1cf507c1b01.jpg,quantity: 15 unit: g ingredient: water (Optional) quantity: 1.0 unit: package ingredient: unflavored gelatin quantity: 120 unit: ml ingredient: hot water (Optional) quantity: 105 unit: g ingredient: white sugar quantity: 30 unit: g ingredient: lemon juice quantity: 120 unit: ml ingredient: evaporated milk,"gelatin, juice, lemon, lemon juice, milk, plum, sugar, water",230
